Date,Processor,Site name,Latitude,Longitude,PixelX,PixelY,In situ Chl-a,In situ SPM,reflec_1_mean,reflec_2_mean,reflec_3_mean,reflec_4_mean,reflec_5_mean,reflec_6_mean,reflec_7_mean,reflec_8_mean,reflec_9_mean,reflec_10_mean,reflec_12_mean,reflec_13_mean,a_ys_443_mean,a_pig_443_mean,a_total_443_mean,bb_spm_443_mean,tsm_mean,chl_conc_mean,chiSquare_mean,K_min_mean,Z90_max_mean,Kd_490_mean,turbidity_index_mean,Number of pixels
20100802,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,27.40,na,0.005103104,0.006567023,0.011452791,0.013862786,0.019630157,0.012958167,0.008788888,0.008208745,0.005875241,0.001926768,0.00157877,0.000833053,0.595974512,0.321591586,0.917566114,0.130112067,11.25469303,6.45379342,0.220158969,0.577105535,-1.733705812,0.756612725,10.05711036,9
20120319,C2R,KdKVI_Szemes,46.850559,17.77640967,345.5,511.5,6.70,na,0.008499089,0.013381768,0.022590584,0.026935333,0.036423532,0.031233309,0.02523644,0.023810704,0.020201245,0.007637882,0.006273979,0.003357259,1.280265954,0.291182184,1.571448141,0.432044715,37.37186813,5.82037327,0.207846241,1.168477707,-0.855922083,1.548587852,47.93899748,9
20080901,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,32.60,na,0.004246971,0.005498793,0.00974116,0.012208642,0.018582544,0.013833434,0.009416492,0.008705292,0.007303043,0.002475983,0.002019854,0.001055474,0.74938745,0.536528554,1.285915984,0.159170331,13.76823362,10.98986382,0.20662924,0.731267095,-1.371599926,1.02564872,11.01233154,9
20090330,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,21.50,na,0.004543178,0.006552212,0.012005214,0.015814671,0.025766607,0.023574164,0.017762462,0.016472927,0.015152386,0.005546919,0.00455288,0.00238739,1.577822049,0.604784787,2.182606909,0.323342241,27.96910455,12.45499473,0.431741677,1.268948462,-0.789759616,1.776300271,25.8523621,9
20090504,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,5.55,na,0.0068326,0.010316298,0.019099059,0.023847991,0.032934109,0.024885053,0.018801088,0.017737341,0.012826273,0.00438246,0.003624667,0.001948291,0.933528046,0.210129355,1.143657459,0.254357172,22.00189357,4.145800643,0.354193313,0.775356114,-1.290610949,1.052112222,28.21935378,9
20090608,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,7.00,na,0.00661646,0.009674161,0.01776423,0.022078184,0.030520656,0.022129288,0.016308747,0.015383857,0.010550357,0.003503747,0.002903813,0.00156472,0.831296311,0.185293262,1.016589582,0.209274529,18.10224703,3.637454695,0.442779826,0.68627829,-1.457142101,0.913542125,22.58953942,9
20090706,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,5.60,na,0.006672344,0.00985705,0.018491912,0.023294068,0.032526371,0.024017184,0.017928076,0.016915985,0.011801861,0.003958587,0.003269247,0.001754094,0.881991314,0.191410646,1.073401981,0.207640678,17.96091927,3.762394031,0.407154593,0.699969888,-1.429478155,0.944024384,26.32272572,9
20090817,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,15.50,na,0.004417007,0.005425398,0.009308568,0.011119598,0.015711065,0.009911084,0.00654365,0.006088551,0.00455607,0.001507815,0.001226197,0.000639531,0.475057426,0.392229428,0.867286841,0.107754948,9.320803324,7.934183915,0.082626473,0.541936133,-1.846055852,0.701555894,7.204647753,9
20100628,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,18.50,na,0.005246908,0.008170297,0.016588229,0.022095235,0.032504876,0.024944369,0.018761614,0.017656659,0.013006203,0.004447711,0.003671709,0.001959362,1.118563069,0.254841172,1.373404251,0.256519581,22.18894407,5.071904288,0.72618264,0.887970375,-1.132271912,1.189170016,29.11020999,9
20100802,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,23.30,na,0.004540599,0.005620236,0.009407188,0.011446075,0.017150912,0.012735312,0.008640812,0.007988997,0.006783801,0.002315013,0.001883802,0.000980747,0.658370541,0.555575616,1.213946197,0.151827842,13.13310856,11.39591418,0.148394219,0.705984996,-1.417260779,0.977570713,9.833159977,9
20110502,C2R,KdKVI_Szigliget,46.751682,17.414612,184.5,555.5,5.90,na,0.007900095,0.012206883,0.020735808,0.024981671,0.034494209,0.029610844,0.023593723,0.022211886,0.01888262,0.007055229,0.005800494,0.003104559,1.222985374,0.33212116,1.555106574,0.37897465,32.78130595,6.673721896,0.101468876,1.111827731,-0.89949539,1.474864178,41.65760167,9
